PopulationCode,bio10
Bonn2,18.1433334350586
Bonn3,18.1433334350586
Bonn6,18.1433334350586
Cam1,16.4646663665771
Cam2,16.4646663665771
Canada1,13.1539993286133
Croatia,20.1793327331543
Czech1,17.0799999237061
Denmark1,15.5583333969116
Ehrenhausen3,18.6313323974609
Ehrenhausen6,18.6313323974609
France1,19.6520004272461
Germany1,13.7666664123535
Grafenegg1,18.8613338470459
Grafenegg2,18.8613338470459
Ireland1,13.9433336257935
Ireland10,13.9433336257935
Ireland12,13.9433336257935
Ireland13,13.9433336257935
Ireland18,13.9433336257935
Ireland19,13.9433336257935
Ireland2,13.9433336257935
Ireland21,14.058666229248
Ireland22,14.058666229248
Ireland3,13.9619998931885
Ireland36,13.9433336257935
Ireland37,15.3020000457764
Ireland38,15.3020000457764
Ireland5,13.9619998931885
Ireland6,13.9619998931885
Ireland7,13.9433336257935
Japan1,20.6886672973633
Japan10,21.5226669311523
Japan12,20.9466667175293
Japan13,23.0260009765625
Japan16,20.6886672973633
Japan17,20.3746662139893
Japan18,20.9466667175293
Japan19,25.1586666107178
Japan2,20.6886672973633
Japan20,25.1586666107178
Japan21,20.3746662139893
Japan22,24.7068634033203
Japan26,20.9466667175293
Japan27,20.9466667175293
Japan28,23.0260009765625
Japan29,26.2347831726074
Japan30,20.9466667175293
Japan4,24.8746662139893
Japan5,24.8746662139893
Japan6,19.8500003814697
Japan7,19.8500003814697
Japan9,24.3753337860107
MaG1,19.533332824707
MiBa1,19.4753341674805
MiBa2,19.4753341674805
Norwich1,15.7526664733887
Norwich2,15.7526664733887
Norwich4,15.7526664733887
Oxford12,16.4020004272461
Oxford15,16.4020004272461
Oxford4,16.4020004272461
Oxford6,16.4020004272461
Schubert13,19.533332824707
Schubert2,19.533332824707
Schubert4,19.533332824707
Schubert5,19.533332824707
Schubert6,19.533332824707
Schubert8,19.533332824707
Schubert9,19.533332824707
Sopron1,19.4780006408691
Tak1F7,25.2413330078125
Tak2F7,25.2413330078125
US1,20.0946674346924
Zurich14,17.7606658935547
Zurich6,17.7606658935547
Zurich9,17.7606658935547
bgld1,18.470666885376
