,bio4
Bonn2,604.496032714844
Bonn3,604.496032714844
Bonn6,604.496032714844
Cam1,496.331665039062
Cam2,496.331665039062
Canada1,668.367919921875
Croatia,745.277221679688
Czech1,729.998840332031
Denmark1,608.239196777344
Ehrenhausen3,770.2451171875
Ehrenhausen6,770.2451171875
France1,466.204437255859
Germany1,655.162475585938
Grafenegg1,755.263732910156
Grafenegg2,755.263732910156
Ireland1,357.341949462891
Ireland10,357.341949462891
Ireland12,357.341949462891
Ireland13,357.341949462891
Ireland18,357.341949462891
Ireland19,357.341949462891
Ireland2,357.341949462891
Ireland21,383.846557617188
Ireland22,383.846557617188
Ireland3,367.716369628906
Ireland36,357.341949462891
Ireland37,406.264984130859
Ireland38,406.264984130859
Ireland5,367.716369628906
Ireland6,367.716369628906
Ireland7,357.341949462891
Japan1,960.538513183594
Japan10,931.50146484375
Japan12,894.9482421875
Japan13,847.966552734375
Japan16,960.538513183594
Japan17,929.841918945312
Japan18,894.9482421875
Japan19,822.765869140625
Japan2,960.538513183594
Japan20,822.765869140625
Japan21,929.841918945312
Japan22,745.642272949219
Japan26,894.9482421875
Japan27,894.9482421875
Japan28,847.966552734375
Japan29,707.646667480469
Japan30,894.9482421875
Japan4,813.720336914062
Japan5,813.720336914062
Japan6,899.219055175781
Japan7,899.219055175781
Japan9,829.395935058594
MaG1,749.881530761719
MiBa1,781.476928710938
MiBa2,781.476928710938
Norwich1,477.724487304688
Norwich2,477.724487304688
Norwich4,477.724487304688
Oxford12,480.284149169922
Oxford15,480.284149169922
Oxford4,480.284149169922
Oxford6,480.284149169922
Schubert13,749.881530761719
Schubert2,749.881530761719
Schubert4,749.881530761719
Schubert5,749.881530761719
Schubert6,749.881530761719
Schubert8,749.881530761719
Schubert9,749.881530761719
Sopron1,752.671569824219
Tak1F7,845.38134765625
Tak2F7,845.38134765625
US1,949.406555175781
Zurich14,681.411804199219
Zurich6,681.411804199219
Zurich9,681.411804199219
bgld1,752.566284179688
