pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
Europe	Japan	chr1	1	20000	-0.0232797353622503	21
Europe	Japan	chr1	20001	40000	-0.0398599515216805	1
Europe	Japan	chr1	40001	60000	0.2245416647389273	5
Europe	Japan	chr1	60001	80000	0.0162885662431941	7
Europe	Japan	chr1	80001	100000	-0.0398599515216805	2
Europe	Japan	chr1	100001	120000	0.0047878273243777	89
Europe	Japan	chr1	120001	140000	0.0063978766242008	72
Europe	Japan	chr1	140001	160000	-0.0107541519194119	1
Europe	Japan	chr1	160001	180000	0.0424078191192126	11
Europe	Japan	chr1	180001	200000	0.0873260658843617	55
Europe	Japan	chr1	200001	220000	0.2321956585451534	195
Europe	Japan	chr1	220001	240000	0.0991455196107833	248
Europe	Japan	chr1	240001	260000	0.2204286722463998	74
Europe	Japan	chr1	260001	280000	0.2175094506625705	146
Europe	Japan	chr1	280001	300000	0.2455907931675984	173
Europe	Japan	chr1	300001	320000	0.1507840999135787	86
Europe	Japan	chr1	320001	340000	0.2978042629792601	133
Europe	Japan	chr1	340001	360000	0.1488398553629504	223
Europe	Japan	chr1	360001	380000	0.0354022296540729	310
Europe	Japan	chr1	380001	400000	0.0718832481048798	438
Europe	Japan	chr1	400001	420000	0.1456450401000625	253
Europe	Japan	chr1	420001	440000	0.1206763046270449	204
Europe	Japan	chr1	440001	460000	0.3856579715047959	558
Europe	Japan	chr1	460001	480000	0.1765378630097888	126
Europe	Japan	chr1	480001	500000	0.0745025404185909	215
Europe	Japan	chr1	500001	520000	0.1368293896672463	383
Europe	Japan	chr1	520001	540000	0.1719358015528575	264
Europe	Japan	chr1	540001	560000	0.2617993848250081	348
Europe	Japan	chr1	560001	580000	0.140808274438057	390
Europe	Japan	chr1	580001	600000	0.3189589812285605	204
Europe	Japan	chr1	600001	620000	0.2490884147430296	686
Europe	Japan	chr1	620001	640000	0.2383771723812217	358
Europe	Japan	chr1	640001	660000	0.2286404730599661	381
Europe	Japan	chr1	660001	680000	0.2653682016501043	337
Europe	Japan	chr1	680001	700000	0.3248416686312025	381
Europe	Japan	chr1	700001	720000	0.3995965567314857	375
Europe	Japan	chr1	720001	740000	0.4824456543540033	547
