chr,start,stop,ID
chr1,1,1967,Mp1g00005a
chr1,3767,3924,Mp1g00015a
chr1,5072,6891,Mp1g00015b
chr1,13605,13723,Mp1g00015c
chr1,15718,17728,Mp1g00015d
chr1,19528,19685,Mp1g00025a
chr1,20833,22652,Mp1g00025b
chr1,24398,24516,Mp1g00025c
chr1,31237,33056,Mp1g00025d
chr1,34204,34361,Mp1g00025e
chr1,36373,37741,Mp1g00035a
chr1,44464,44582,Mp1g00035b
chr1,46560,47452,Mp1g00035c
chr1,47955,48093,Mp1g00035d
chr1,49893,51899,Mp1g00035e
chr1,53837,53954,Mp1g00035f
chr1,59615,59733,Mp1g00035g
chr1,61674,63680,Mp1g00035h
chr1,65480,65637,Mp1g00035i
chr1,72536,74355,Mp1g00035j
chr1,75505,75662,Mp1g00035k
chr1,77462,79468,Mp1g00035l
chr1,81409,81527,Mp1g00035m
chr1,100319,100766,Mp1g00045a
chr1,102566,102723,Mp1g00045b
chr1,103869,105687,Mp1g00045c
chr1,114259,114377,Mp1g00045d
chr1,116316,118326,Mp1g00045e
chr1,120125,120282,Mp1g00045f
chr1,121431,123250,Mp1g00045g
chr1,129951,130069,Mp1g00055a
chr1,131993,134001,Mp1g00055b
chr1,135799,135956,Mp1g00055c
chr1,137102,138921,Mp1g00055d
chr1,145286,145728,Mp1g00055e
chr1,147538,147695,Mp1g00055f
chr1,148842,150439,Mp1g00055g
chr1,150940,152838,Mp1g00055h
chr1,154637,154794,Mp1g00055i
chr1,155943,157762,Mp1g00055j
chr1,162007,163825,Mp1g00055k
chr1,232548,238180,Mp1g00070
chr1,238796,241187,Mp1g00080
chr1,245204,253678,Mp1g00090
chr1,254510,261695,Mp1g00100
chr1,264950,267050,Mp1g00110
chr1,272861,276002,Mp1g00120
chr1,290530,292179,Mp1g00130
chr1,293905,301908,Mp1g00140
chr1,306455,311608,Mp1g00160
chr1,326974,330199,Mp1g00170
chr1,329035,336836,Mp1g00180
chr1,340744,344763,Mp1g00190
chr1,355584,356441,Mp1g00200
chr1,357834,362547,Mp1g00210
chr1,366418,372541,Mp1g00220
chr1,377786,386098,Mp1g00230
chr1,387516,389492,Mp1g00240
chr1,401034,404722,Mp1g00250
chr1,423220,424042,Mp1g00260
chr1,423869,428350,Mp1g00270
chr1,429811,432222,Mp1g00280
chr1,434801,442223,Mp1g00290
chr1,442919,444765,Mp1g00300
chr1,444766,448394,Mp1g00310
chr1,457952,461638,Mp1g00320
chr1,461402,465478,Mp1g00330
chr1,466858,475520,Mp1g00340
chr1,480141,483146,Mp1g00350
chr1,483653,487146,Mp1g00360
chr1,489706,497268,Mp1g00370
chr1,507792,510585,Mp1g00380
chr1,511411,513087,Mp1g00390
chr1,515455,519546,Mp1g00400
chr1,521894,525335,Mp1g00410
chr1,526204,529634,Mp1g00420
chr1,531467,534441,Mp1g00430
chr1,541644,544553,Mp1g00440
chr1,551585,553055,Mp1g00450
chr1,561607,564010,Mp1g00460
chr1,565967,568017,Mp1g00470
chr1,578946,583689,Mp1g00480
chr1,587149,589656,Mp1g00490
chr1,596944,598069,Mp1g00500
chr1,607990,610177,Mp1g00510
chr1,619632,622747,Mp1g00530
chr1,631306,632748,Mp1g00540
chr1,633799,640088,Mp1g00550
chr1,642154,647568,Mp1g00560
chr1,658185,659241,Mp1g00570
chr1,671825,675291,Mp1g00580
chr1,682517,683075,Mp1g00590
chr1,682897,689602,Mp1g00600
chr1,689990,690832,Mp1g00610
chr1,699802,703203,Mp1g00620
chr1,704649,708058,Mp1g00630
chr1,714512,721860,Mp1g00640
chr1,728501,731154,Mp1g00650
chr1,731249,736277,Mp1g00660
chr1,734553,734633,Mp1g00673a
chr1,739050,739217,Mp1g00675
chr1,740924,745086,Mp1g00680
chr1,751207,755063,Mp1g00690
chr1,764121,767293,Mp1g00700
chr1,771459,774012,Mp1g00710
chr1,774549,778059,Mp1g00720
chr1,779041,781089,Mp1g00730
chr1,794020,794355,Mp1g00740
chr1,794654,795454,Mp1g00750
chr1,825832,830976,Mp1g00760
chr1,833612,837027,Mp1g00770
chr1,834968,835075,Mp1g00775
chr1,841118,841351,Mp1g00780
chr1,845296,846961,Mp1g00790
chr1,857542,859403,Mp1g00800
chr1,859731,862697,Mp1g00810
chr1,867199,874443,Mp1g00820
chr1,874484,880653,Mp1g00830
chr1,883052,892724,Mp1g00840
chr1,898378,907978,Mp1g00850
chr1,937126,937488,Mp1g00870
chr1,937343,947255,Mp1g00880
chr1,951040,951503,Mp1g00890
chr1,963478,966128,Mp1g00910
chr1,997691,1000652,Mp1g00920
chr1,1022677,1027237,Mp1g00930
chr1,1029034,1041874,Mp1g00940
chr1,1043236,1048972,Mp1g00950
chr1,1059259,1061842,Mp1g00960
chr1,1063065,1065158,Mp1g00970
chr1,1068814,1071371,Mp1g00980
chr1,1072677,1076155,Mp1g00990
chr1,1115523,1118871,Mp1g01000
chr1,1126569,1129566,Mp1g01010
chr1,1132398,1136858,Mp1g01020
chr1,1139153,1142415,Mp1g01030
chr1,1149319,1154570,Mp1g01040
chr1,1185752,1187221,Mp1g01050
chr1,1188362,1188931,Mp1g01060
chr1,1193737,1194162,Mp1g01070
chr1,1197009,1205511,Mp1g01080
chr1,1208542,1213903,Mp1g01090
chr1,1235811,1241404,Mp1g01100
chr1,1279114,1283588,Mp1g01110
chr1,1292252,1294805,Mp1g01120
chr1,1295097,1303632,Mp1g01130
chr1,1327935,1330379,Mp1g01135
chr1,1331066,1340026,Mp1g01140
chr1,1343907,1345708,Mp1g01150
chr1,1353946,1362731,Mp1g01160
chr1,1370144,1373707,Mp1g01170
chr1,1373785,1376231,Mp1g01180
chr1,1378871,1381054,Mp1g01190
chr1,1389225,1404499,Mp1g01200
chr1,1424163,1427081,Mp1g01210
chr1,1431043,1432618,Mp1g01220
chr1,1431089,1432610,Mp1g01230
chr1,1433434,1436676,Mp1g01240
chr1,1437060,1441744,Mp1g01250
chr1,1445021,1447545,Mp1g01260
chr1,1447913,1451760,Mp1g01270
chr1,1467159,1470309,Mp1g01280
chr1,1472781,1482037,Mp1g01290
chr1,1486131,1490596,Mp1g01300
chr1,1513149,1516297,Mp1g01320
chr1,1519688,1520709,Mp1g01330
chr1,1521250,1525082,Mp1g01340
chr1,1596944,1598577,Mp1g01350
chr1,1605654,1617779,Mp1g01360
chr1,1623248,1627519,Mp1g01370
chr1,1629925,1635402,Mp1g01380
chr1,1635694,1648224,Mp1g01390
chr1,1650728,1655278,Mp1g01400
chr1,1666610,1671409,Mp1g01410
chr1,1666965,1667455,Mp1g01420
chr1,1679695,1682279,Mp1g01430
chr1,1680818,1693118,Mp1g01440
chr1,1697024,1702009,Mp1g01450
chr1,1709881,1710618,Mp1g01460
chr1,1714746,1725845,Mp1g01470
chr1,1726599,1739955,Mp1g01480
chr1,1749263,1755469,Mp1g01490
chr1,1760963,1762115,Mp1g01500
chr1,1762116,1763335,Mp1g01510
chr1,1766025,1773256,Mp1g01520
chr1,1773550,1777156,Mp1g01530
chr1,1777705,1780876,Mp1g01540
chr1,1781396,1785366,Mp1g01550
chr1,1785367,1794270,Mp1g01560
chr1,1794271,1797961,Mp1g01570
