pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Europe	chr1	1	20000	0.0001021870994081	19866	2905	28428246	86357502
Japan	chr1	1	20000	6.384769296276394e-05	19866	293	4589046	14204190
Japan	chr1	20001	40000	0.0	19996	0	4619076	14297140
Europe	chr1	20001	40000	3.634549411629356e-06	19996	104	28614276	86922612
Japan	chr1	40001	60000	3.660937407935006e-05	19984	169	4616304	14288560
Europe	chr1	40001	60000	1.2763530181237932e-05	19984	365	28597104	86870448
Japan	chr1	60001	80000	8.048411957206745e-05	19955	371	4609605	14267825
Europe	chr1	60001	80000	6.292985212535332e-05	19955	1797	28555605	86744385
Japan	chr1	80001	100000	0.0	19965	0	4611915	14274975
Europe	chr1	80001	100000	7.280385678431315e-06	19965	208	28569915	86787855
Europe	chr1	100001	120000	0.0006071674171464	19772	17179	28293679	85948937
Japan	chr1	100001	120000	0.0006012262738946	19772	2746	4567332	14136980
Japan	chr1	120001	140000	0.0004348462002115	19801	1989	4574031	14157715
Europe	chr1	120001	140000	0.0004832499865626	19801	13693	28335231	86074947
Europe	chr1	140001	160000	7.008093261462534e-06	19943	200	28538433	86692221
Japan	chr1	140001	160000	0.0	19943	0	4606833	14259245
Europe	chr1	160001	180000	7.610268405399068e-05	19926	2170	28514106	86618322
Japan	chr1	160001	180000	5.083744921143295e-05	19926	234	4602906	14247090
Europe	chr1	180001	200000	0.0002612378098681	19894	7437	28468314	86479218
Japan	chr1	180001	200000	0.0002104244764358	19894	967	4595473	14224251
Europe	chr1	200001	220000	0.0012228455389601	19627	34345	28086131	85318675
Japan	chr1	200001	220000	0.0013816240037319	19627	6264	4533795	14033347
Europe	chr1	220001	240000	0.0016425288019541	19620	46116	28076220	85288140
Japan	chr1	220001	240000	0.0010228982706046	19620	4636	4532220	14028300
Japan	chr1	240001	260000	0.0003903933572934	19849	1790	4585119	14192035
Europe	chr1	240001	260000	0.0004984171374379	19849	14157	28403919	86283603
Europe	chr1	260001	280000	0.0009600906011681	19701	27067	28192131	85640247
